0	000000	情况
1	000001	前途
2	000002	形势
3	000004	动态
4	000005	形态
5	000006	声势
6	000007	优势
7	000008	现实
8	000009	实际
9	000010	定局
10	000013	部分
11	000014	过渡
12	000015	标志
13	000016	目标
14	000017	目的
15	000018	意义
16	000019	结果
17	000020	作用
18	000021	用途
19	000022	功能
20	000023	环节
21	000025	公益
22	000026	利益
23	000027	成效（成功）
24	000028	效益
25	000029	有效
26	000030	程度
27	000031	进度
28	000032	象征
29	000033	根源
30	000034	体现
31	000035	普及
32	000036	提高
33	000037	利用
34	000038	引导
35	000039	开展
36	000040	发展
37	000041	发挥
38	000042	发动
39	000043	发生
40	000044	出现
41	000045	成立（建立）
42	000046	形成
43	000047	构成
44	000048	实行
45	000049	转折（拐弯）
46	000050	扭转
47	000051	好转
48	000052	改善（改良）
49	000053	搞清
50	000054	承受
51	000055	摆脱
52	000056	解除
53	000057	解散
54	000058	放弃（放）
55	000059	废除
56	000060	民主
57	000061	自由
58	000062	集中
59	000063	安定
60	000064	团结
61	000066	热闹
62	000067	富裕
63	000068	富强
64	000069	丰富
65	000070	小康
66	000071	和睦
67	000072	幸福
68	000073	吉祥
69	000074	安静
70	000075	寂静
71	000076	孤立
72	000077	贫苦
73	000078	禁止
74	000079	反复（重复）
75	000080	延长
76	000081	耽误
77	000082	避免
78	000083	专门
79	000084	圆满
80	000085	困难
81	000086	容易
82	000087	紧张
83	000088	稳定
84	000089	基础（根据）
85	000090	基本
86	000091	加强
87	000092	详细
88	000093	保留
89	000094	安全
90	000095	危害
91	000096	升
92	000097	降
93	000099	落
94	000100	来
95	000101	去（出）
96	000102	到
97	000103	晒
98	000104	醒
99	000105	有
100	000106	没有（无）
101	000107	是
102	000108	不是
103	000109	属于
104	000110	小
105	000111	多
106	000112	少
107	000113	长
108	000114	短
109	000115	高
110	000116	矮（低）
111	000117	远
112	000118	近
113	000119	宽（宽广）
114	000120	窄（狭）
115	000121	粗
116	000122	细（细致）
117	000126	重
118	000128	硬
119	000129	软
120	000130	深
121	000131	浅
122	000132	快
123	000133	慢
124	000137	胖（肥）
125	000138	瘦
126	000142	新
127	000143	旧
128	000144	好
129	000145	坏
130	000146	差（劣）
131	000147	漏（滴）
132	000148	真
133	000149	假
134	000150	美
135	000152	正
136	000153	歪（倾向）
137	000154	直
138	000155	曲（曲折）
139	000156	平（平等）
140	000159	干
141	000160	温
142	000161	单
143	000162	双
144	000163	疏
145	000164	密
146	000165	密集
147	000166	空
148	000167	实
149	000168	紧
150	000169	松
151	000172	强
152	000173	弱
153	000174	浓
154	000175	淡
155	000176	清淡
156	000177	嫩
157	000181	破
158	000182	缺
159	000183	偏
160	000215	职业
161	000216	工人
162	000217	矿工
163	000218	农民
164	000219	牧民
165	000220	小孩儿（儿童、少年）
166	000221	青年
167	000222	成年人（大人）
168	000223	老人
169	000224	残疾人
170	000225	聋人
171	000226	盲人
172	000227	肢残人
173	000228	弱智人
174	000229	祖父（爷爷）
175	000230	祖母（奶奶）
176	000231	外祖父（外公）
177	000232	外祖母（外婆）
178	000234	妈妈
179	000235	岳父
180	000236	岳母
181	000237	公公
182	000238	婆婆
183	000239	哥哥
184	000240	邻居
185	000241	自己
186	000242	我
187	000243	你
188	000244	他（她、它）
189	000245	我们
190	000246	你们
191	000247	他们
192	000248	别人
193	000249	大家
194	000250	群众
195	000251	同志
196	000252	同事
197	000253	同学
198	000254	同胞
199	000255	朋友
200	000256	男
201	000257	女（姑娘）
202	000258	先生
203	000259	女士
204	000273	人
205	000274	人类
206	000275	人民
207	000276	国民
208	000277	公民
209	000278	市民
210	000279	居民
211	000280	裁缝
212	000281	模特
213	000282	商人
214	000283	经纪人
215	000284	个体户
216	000285	会计
217	000286	园丁
218	000287	保姆
219	000288	向导
220	000289	猎手
221	000290	解放军
222	000291	警察
223	000292	武警
224	000293	刑警
225	000294	保安
226	000295	保卫
227	000296	门卫
228	000300	公务员
229	000301	职员
230	000302	知识分子
231	000303	教师
232	000304	教练
233	000305	翻译
234	000306	记者
235	000307	编辑
236	000308	作家
237	000309	画家
238	000310	导演
239	000311	演员
240	000312	医生（大夫）
241	000313	护士
242	000314	学生
243	000315	律师
244	000316	驾驶员
245	000317	邮递员
246	000318	炊事员
247	000319	保育员
248	000320	交流
249	000321	沟通
250	000322	礼貌
251	000323	谦让（客气）
252	000324	招呼
253	000325	观察
254	000326	拜访
255	000327	友谊
256	000328	约会
257	000329	会见（接见）
258	000330	会客
259	000331	祝愿
260	000332	庆祝
261	000333	民政
262	000334	福利
263	000335	捐献
264	000336	事业
265	000337	事情
266	000338	事件
267	000339	事例
268	000340	婚姻
269	000341	亲切
270	000342	美容
271	000343	工作
272	000344	地位
273	000345	经验
274	000346	就业
275	000347	岗位
276	000348	服务
277	000349	名声
278	000350	名望
279	000351	负责
280	000352	任务
281	000353	责任（委任）
282	000354	推荐
283	000355	招聘
284	000356	社会
285	000357	环境
286	000358	传统
287	000359	气氛
